issue_id,district,block,citizen_role,urgency,reported_date,primary_domain,secondary_domain,description,data_version,language_style,latitude,longitude,geo_source,split
JH-26043-0001,Dhanbad,Jharia,Ward Member (ULB),Medium,05-04-2026,water_management,sanitation,"Chapakal (handpump) broken in our tola since 3 weeks, villagers walking 2km for peene ka pani",synthetic_seed_v1,hinglish_or_local_terms,23.7957,86.4304,synthetic_district_centroid_for_demo,train
JH-26043-0002,Dhanbad,Topchanchi,SHG Leader (Sakhi Mandal),Low,03-01-2026,water_management,agriculture,"Panchayat water tank overflow ho raha hai daily, valve kharab hone se thousands of litres waste",synthetic_seed_v1,hinglish_or_local_terms,23.7957,86.4304,synthetic_district_centroid_for_demo,train
JH-26043-0003,Hazaribagh,Katkamsandi,Local Youth Group,Low,23-04-2026,water_management,,"Deep borewell dry ho gaya due to ground water depletion in block, water tanker demand not addressed",synthetic_seed_v1,formal_or_detailed,23.9966,85.3691,synthetic_district_centroid_for_demo,train
JH-26043-0004,Hazaribagh,Chauparan,Local Youth Group,High,25-01-2026,water_management,agriculture,"Handpump water has high fluoride and red arsenic taste, villagers suffering bone pains",synthetic_seed_v1,formal_or_detailed,23.9966,85.3691,synthetic_district_centroid_for_demo,train
JH-26043-0005,Palamu,Satbarwa,Ward Member (ULB),Medium,25-04-2026,water_management,healthcare,"Submersible pump burnt out in gram panchayat overhead tank, no drinking water supply",synthetic_seed_v1,formal_or_detailed,24.03,84.07,synthetic_district_centroid_for_demo,train
JH-26043-0006,Dhanbad,Jharia,SHG Leader (Sakhi Mandal),Low,28-06-2026,water_management,healthcare,"Canal branch silted with mud, irrigation water not reaching tail-end agricultural fields",synthetic_seed_v1,formal_or_detailed,23.7957,86.4304,synthetic_district_centroid_for_demo,validation
JH-26043-0007,Dumka,Shikaripara,SHG Leader (Sakhi Mandal),Low,03-07-2026,water_management,healthcare,"Check dam wall cracked and leaking, all monsoon water draining away prematurely",synthetic_seed_v1,formal_or_detailed,24.2676,87.2497,synthetic_district_centroid_for_demo,train
JH-26043-0008,Bokaro,Kasmar,Mukhiya / PRI Rep,Low,22-01-2026,water_management,agriculture,"Water pipeline fractured during road widening work, contaminated drain water mixing inside",synthetic_seed_v1,formal_or_detailed,23.6693,86.1511,synthetic_district_centroid_for_demo,test
JH-26043-0009,Dumka,Shikaripara,Mukhiya / PRI Rep,Low,09-07-2026,water_management,,"Community well contaminated with animal carcass and dirt, needs chlorination immediately",synthetic_seed_v1,short_complaint,24.2676,87.2497,synthetic_district_centroid_for_demo,train
JH-26043-0010,Bokaro,Bermo,Ward Member (ULB),High,22-04-2026,water_management,healthcare,"Solar powered water pump inverter stolen, 40 tribal households left without tap connection",synthetic_seed_v1,formal_or_detailed,23.6693,86.1511,synthetic_district_centroid_for_demo,train
JH-26043-0011,Dhanbad,Topchanchi,Mukhiya / PRI Rep,Medium,15-03-2026,water_management,,"Open pond drying up fast, village cattle have no source for bathing or drinking",synthetic_seed_v1,formal_or_detailed,23.7957,86.4304,synthetic_district_centroid_for_demo,train
JH-26043-0012,Dumka,Saraiyahat,Mukhiya / PRI Rep,High,08-01-2026,water_management,sanitation,Water supply scheme Jal Jeevan Mission pipes laid but no source connection given yet,synthetic_seed_v1,formal_or_detailed,24.2676,87.2497,synthetic_district_centroid_for_demo,validation
JH-26043-0013,Bokaro,Gumia,Ward Member (ULB),Low,19-04-2026,water_management,healthcare,Heavy mud and silt coming out of public borewell after heavy rainfall in block,synthetic_seed_v1,formal_or_detailed,23.6693,86.1511,synthetic_district_centroid_for_demo,train
JH-26043-0014,Hazaribagh,Chauparan,SHG Leader (Sakhi Mandal),Critical,09-03-2026,water_management,agriculture,"Water distribution limited to powerful families in main tola, neglected lower tola",synthetic_seed_v1,formal_or_detailed,23.9966,85.3691,synthetic_district_centroid_for_demo,train
JH-26043-0015,Hazaribagh,Katkamsandi,Local Youth Group,High,19-07-2026,water_management,,Public water filtration unit installed at health sub-centre broken and abandoned,synthetic_seed_v1,short_complaint,23.9966,85.3691,synthetic_district_centroid_for_demo,validation
JH-26043-0016,Bokaro,Bermo,Mukhiya / PRI Rep,Critical,25-02-2026,water_management,sanitation,"Natural hill stream tapped by private crusher plant, village stream flow stopped",synthetic_seed_v1,formal_or_detailed,23.6693,86.1511,synthetic_district_centroid_for_demo,train
JH-26043-0017,Dhanbad,Baghmara,Mukhiya / PRI Rep,Critical,13-02-2026,water_management,,"Groundwater contaminated by iron deposits, white clothes turning orange when washed",synthetic_seed_v1,short_complaint,23.7957,86.4304,synthetic_district_centroid_for_demo,train
JH-26043-0018,West Singhbhum,Jhinkpani,Ward Member (ULB),Low,22-02-2026,water_management,healthcare,"Lift irrigation motor submerged in flood silt and burnt, repair grant pending",synthetic_seed_v1,formal_or_detailed,22.557,85.581,synthetic_district_centroid_for_demo,train
JH-26043-0019,Bokaro,Chas,Ward Member (ULB),Critical,15-03-2026,water_management,sanitation,Rooftop rainwater harvesting tank at Panchayat Bhavan damaged with wide wall cracks,synthetic_seed_v1,formal_or_detailed,23.6693,86.1511,synthetic_district_centroid_for_demo,train
JH-26043-0020,Dumka,Saraiyahat,Mukhiya / PRI Rep,Low,27-05-2026,water_management,agriculture,Water meter billing exorbitant amounts despite zero water supply in municipal ward,synthetic_seed_v1,formal_or_detailed,24.2676,87.2497,synthetic_district_centroid_for_demo,train
JH-26043-0021,East Singhbhum,Golmuri,Mukhiya / PRI Rep,Low,16-06-2026,water_management,sanitation,"Defunct handpump parts stolen by miscreants, tube completely blocked with stones",synthetic_seed_v1,short_complaint,22.8046,86.2029,synthetic_district_centroid_for_demo,test
JH-26043-0022,Dhanbad,Govindpur,Ward Member (ULB),Medium,08-01-2026,water_management,sanitation,"Village pond embankments breached due to sudden downpour, flooded adjacent farmland",synthetic_seed_v1,short_complaint,23.7957,86.4304,synthetic_district_centroid_for_demo,validation
JH-26043-0023,Dhanbad,Nirsa,Villager / Citizen,Medium,22-03-2026,water_management,,Drinking water kiosk at weekly haat bazaar broken and non-operational for months,synthetic_seed_v1,formal_or_detailed,23.7957,86.4304,synthetic_district_centroid_for_demo,train
JH-26043-0024,East Singhbhum,Golmuri,Local Youth Group,Critical,18-04-2026,water_management,agriculture,Private commercial tankers extracting groundwater illegally using high-capacity borewells,synthetic_seed_v1,short_complaint,22.8046,86.2029,synthetic_district_centroid_for_demo,train
JH-26043-0025,Dumka,Jarmundi,Ward Member (ULB),Critical,06-01-2026,water_management,agriculture,Water testing laboratory report not delivered despite sample collection 4 months back,synthetic_seed_v1,formal_or_detailed,24.2676,87.2497,synthetic_district_centroid_for_demo,test
JH-26043-0026,Hazaribagh,Barhi,Ward Member (ULB),Low,19-04-2026,water_management,agriculture,"Overhead tank cleaning not done for 3 years, green algae and sludge inside",synthetic_seed_v1,formal_or_detailed,23.9966,85.3691,synthetic_district_centroid_for_demo,train
JH-26043-0027,Ranchi,Kanke,Villager / Citizen,Medium,02-02-2026,water_management,healthcare,"Water pipeline valve jammed in closed position, half the colony facing severe crisis",synthetic_seed_v1,formal_or_detailed,23.3441,85.3096,synthetic_district_centroid_for_demo,train
JH-26043-0028,Dhanbad,Topchanchi,Mukhiya / PRI Rep,High,07-08-2026,water_management,agriculture,"River catchment degraded due to illegal bunding, local intake well running empty",synthetic_seed_v1,formal_or_detailed,23.7957,86.4304,synthetic_district_centroid_for_demo,test
JH-26043-0029,West Singhbhum,Chakradharpur,SHG Leader (Sakhi Mandal),Critical,04-04-2026,water_management,sanitation,"Public tap standposts broken by cattle, continuous water logging in village lane",synthetic_seed_v1,formal_or_detailed,22.557,85.581,synthetic_district_centroid_for_demo,train
JH-26043-0030,Palamu,Satbarwa,SHG Leader (Sakhi Mandal),Critical,16-02-2026,water_management,sanitation,Dry season water scarcity forcing school girls to miss classes to fetch headload pots,synthetic_seed_v1,formal_or_detailed,24.03,84.07,synthetic_district_centroid_for_demo,test
JH-26043-0031,Dhanbad,Jharia,SHG Leader (Sakhi Mandal),High,08-02-2026,agriculture,water_management,"Kharif crop damaged by kitanu (pest) attack in our block, no Krishi Mitra or agriculture officer visited",synthetic_seed_v1,formal_or_detailed,23.7957,86.4304,synthetic_district_centroid_for_demo,train
JH-26043-0032,Hazaribagh,Katkamsandi,SHG Leader (Sakhi Mandal),Medium,06-07-2026,agriculture,environment,"Fertilizer black marketing at PACS center during sowing season, DAP packet sold at 500 extra",synthetic_seed_v1,formal_or_detailed,23.9966,85.3691,synthetic_district_centroid_for_demo,test
JH-26043-0033,West Singhbhum,Chakradharpur,Villager / Citizen,Critical,02-02-2026,agriculture,rural_livelihoods,"Tamatar aur gobi rotting due to no cold storage near haat bazaar, small kisans facing heavy loss",synthetic_seed_v1,hinglish_or_local_terms,22.557,85.581,synthetic_district_centroid_for_demo,train
