pair_id,issue_id_a,description_a,issue_id_b,description_b,district,block,domain,is_duplicate,pair_type
DUP001,JH-26043-A006-HEA,Health workers want a simple dashboard to identify villages with low immunization coverage.,JH-26043-A006-HEA-DUP,"Reporting again: health workers want a simple dashboard to identify in Govindpur, no action taken yet",Dhanbad,Govindpur,healthcare,1,paraphrase_same_issue
DUP002,JH-26043-0110,Teacher absenteeism chronic in remote forest schools with no biometric attendance tracking,JH-26043-0110-DUP,Ye issue Katkamsandi block mein kaafi din se hai — teacher absenteeism chronic in remote forest schools with,Hazaribagh,Katkamsandi,education,1,paraphrase_same_issue
DUP003,JH-26043-0061,"CHC (Community Health Centre) has no lady doctor, pregnant women forced to travel 40km to district hospital",JH-26043-0061-DUP,chc (community health centre) has no lady doctor. Same problem as reported earlier from this area.,Dhanbad,Govindpur,healthcare,1,paraphrase_same_issue
DUP004,JH-26043-A007-ENV,Plastic and other non-biodegradable waste is accumulating near a forest edge used by villagers.,JH-26043-A007-ENV-DUP,Petarwar mein plastic and other non-biodegradable waste is accumulating near. Kripya jaldi dekhein.,Bokaro,Petarwar,environment,1,paraphrase_same_issue
DUP005,JH-26043-0323,State scholarship verification portal closed early before college clerk could upload forms,JH-26043-0323-DUP,Jharia mein state scholarship verification portal closed early before college. Kripya jaldi dekhein.,Dhanbad,Jharia,public_administration,1,paraphrase_same_issue
DUP006,JH-26043-0275,"Local weekly haat bazaar lacks basic shed infrastructure, women vendors sitting under rain",JH-26043-0275-DUP,Follow-up complaint: local weekly haat bazaar lacks basic shed infrastructure (this has been going on for weeks),West Singhbhum,Jhinkpani,rural_livelihoods,1,paraphrase_same_issue
DUP007,JH-26043-0238,Missing guardrails along steep mountain ghat sections on state highway,JH-26043-0238-DUP,Chandankiyari mein missing guardrails along steep mountain ghat sections on. Kripya jaldi dekhein.,Bokaro,Chandankiyari,urban_infrastructure,1,paraphrase_same_issue
DUP008,JH-26043-0090,ASHA workers not paid state incentive allowances for institutional delivery facilitation,JH-26043-0090-DUP,"Reporting again: asha workers not paid state incentive allowances for in Topchanchi, no action taken yet",Dhanbad,Topchanchi,healthcare,1,paraphrase_same_issue
DUP009,JH-26043-A009-EDU,Attendance registers are maintained manually and the block office receives delayed information about prolonged absence.,JH-26043-A009-EDU-DUP,Follow-up complaint: attendance registers are maintained manually and the block (this has been going on for weeks),East Singhbhum,Golmuri-Cum-Jugsalai,education,1,paraphrase_same_issue
DUP010,JH-26043-0180,Severe tree branch trimming neglected along 11kV line resulting in daily tripping,JH-26043-0180-DUP,Daltonganj mein severe tree branch trimming neglected along 11kv line. Kripya jaldi dekhein.,Palamu,Daltonganj,energy,1,paraphrase_same_issue
DUP011,JH-26043-A001-URB,The road connecting the bus stand to the hospital has large potholes and becomes unsafe for ambulances after rain.,JH-26043-A001-URB-DUP,Follow-up complaint: the road connecting the bus stand to the (this has been going on for weeks),East Singhbhum,Patamda,urban_infrastructure,1,paraphrase_same_issue
DUP012,JH-26043-0208,Unscientific dumping of iron ore overburden rocks into pristine mountain stream tributaries,JH-26043-0208-DUP,Ye issue Patan block mein kaafi din se hai — unscientific dumping of iron ore overburden rocks into,Palamu,Patan,environment,1,paraphrase_same_issue
DUP013,JH-26043-0116,Primary school situated right beside national highway with no safety speed breakers,JH-26043-0116-DUP,Barkagaon mein primary school situated right beside national highway with. Kripya jaldi dekhein.,Hazaribagh,Barkagaon,education,1,paraphrase_same_issue
DUP014,JH-26043-0057,Mushroom spawn bags contaminated and spoiling within days of purchase from private vendor,JH-26043-0057-DUP,Jama mein mushroom spawn bags contaminated and spoiling within days. Kripya jaldi dekhein.,Dumka,Jama,agriculture,1,paraphrase_same_issue
DUP015,JH-26043-0223,Multi-level car parking facility construction stalled for 4 years leaving vehicles parked on roads,JH-26043-0223-DUP,multi-level car parking facility construction stalled for 4. Same problem as reported earlier from this area.,Ranchi,Ratu,urban_infrastructure,1,paraphrase_same_issue
DUP016,JH-26043-0288,Rural carp aquaculture ponds drying up with no fish fingerling replenishment support,JH-26043-0288-DUP,rural carp aquaculture ponds drying up with no. Same problem as reported earlier from this area.,Dumka,Saraiyahat,rural_livelihoods,1,paraphrase_same_issue
DUP017,JH-26043-0194,Solid municipal trash being set on fire at landfill site causing smog in town,JH-26043-0194-DUP,Govindpur mein solid municipal trash being set on fire at. Kripya jaldi dekhein.,Dhanbad,Govindpur,environment,1,paraphrase_same_issue
DUP018,JH-26043-A002-WAT,Chapakal water turns muddy after rainfall and the panchayat has no routine water-quality testing schedule.,JH-26043-A002-WAT-DUP,Ye issue Govindpur block mein kaafi din se hai — chapakal water turns muddy after rainfall and the,Dhanbad,Govindpur,water_management,1,paraphrase_same_issue
DUP019,JH-26043-0267,Municipal website PDF circulars uploaded as scanned images that fail optical character recognition,JH-26043-0267-DUP,Barkagaon mein municipal website pdf circulars uploaded as scanned images. Kripya jaldi dekhein.,Hazaribagh,Barkagaon,accessibility,1,paraphrase_same_issue
DUP020,JH-26043-0245,District collectorate public hearing hall inaccessible for wheelchair users due to narrow doors,JH-26043-0245-DUP,Follow-up complaint: district collectorate public hearing hall inaccessible for wheelchair (this has been going on for weeks),Hazaribagh,Ichak,accessibility,1,paraphrase_same_issue
DUP021,JH-26043-A005-ACC,The bus stop has no safe boarding arrangement for people with mobility difficulties.,JH-26043-A005-ACC-DUP,the bus stop has no safe boarding arrangement. Same problem as reported earlier from this area.,Hazaribagh,Barkagaon,accessibility,1,paraphrase_same_issue
DUP022,JH-26043-A008-PUB,"Some welfare applications are rejected without a clear explanation, making it difficult for applicants to correct mistakes.",JH-26043-A008-PUB-DUP,Ramgarh mein some welfare applications are rejected without a clear. Kripya jaldi dekhein.,Dumka,Ramgarh,public_administration,1,paraphrase_same_issue
